,id,url,title,location,price,m2,rooms,floor,num-photos,floor-plan,view3d,video,home-staging,description,photo_urls
0,162706974,https://www.fotocasa.es/es/comprar/vivienda/fuenlabrada/aire-acondicionado-calefaccion-trastero-zona-comunitaria-ascensor-parking-piscina/162706974/d,"Piso en venta en Avenida del Hospital, Universidad - Hospital",fuenlabrada,270.000,90,3,3ª,30,0,1,0,0,"Agencia inmobiliaria Tecnocasa de Fuenlabrada - zona Loranca - Hospital - Vivero - vende piso SEMINUEVO en PROCESO DE DESCALIFICACIÓN en URBANIZACIÓN CERRADA con DOS PLAZAS DE GARAJE, TRASTERO y PISCINA. Se distribuye en salón de 21m2, cocina totalmente equipada con office, 3 amplios dormitorios y dos cuartos de baño uno de ellos en suite. A/A por conductos, ventanas climalit abatibles, suelos en parquet y armarios empotrados en todos los dormitorios. En la zona encontrarás todo tipo de servicios, hospital, colegios, institutos, universidad, transporte público (línea 12 de MetroSur y líneas de autobús), zona comercial y fácil acceso a carreteras M-506 y M-407.","['https://static.inmofactory.com/images/inmofactory/documents/1/107112/30316078/466669373.jpg?rule=web_948x542', 'https://static.inmofactory.com/images/inmofactory/documents/1/107112/30316078/466669372.jpg?rule=web_482x269', 'https://static.inmofactory.com/images/inmofactory/documents/1/107112/30316078/466669359.jpg?rule=web_482x269', 'https://static.inmofactory.com/images/inmofactory/documents/1/107112/30316078/466669360.jpg?rule=web_482x269', 'https://static.inmofactory.com/images/inmofactory/documents/1/107112/30316078/466669361.jpg?rule=web_482x269']"
1,163025075,https://www.fotocasa.es/es/comprar/vivienda/fuenlabrada/aire-acondicionado-calefaccion-terraza-ascensor/163025075/d,"Piso en venta en Avenida de España, La Avanzada - La Cueva",fuenlabrada,179.900,82,2,3ª,26,0,0,0,0,"""La Casa Agency"" vende piso para entrar a vivir, la vivienda consta de salón con aire acondicionado y salida a amplia terraza cerrada, cocina con tendedero, dos dormitorios y un baño completo.
Suelos de tarima, ventanas de aluminio, armarios empotrados y calefacción individual de Gas Natural. La finca dispone de ascensor.
Vivienda en perfecto estado de conservación.
Estupenda zona con todos los servicios necesarios, comercios, restauración, teatro, gimnasios, colegios, institutos y zonas verdes.
Muy bien comunicado, con paradas de autobús en la misma puerta y Estación de Renfe a escasos 5 minutos a pie.
Muy buena comunicación con Carretra M-409.

Mediante el sello “Compra Segura”, su Inmobiliaria le otorga más de lo que se espera de los servicios habituales d e una inmobiliaria, porque durante los próximos 20 años:
Le garantizamos que los derechos legales adquiridos en la escritura serán respetados.
Certificamos que la vivienda que usted ha comprado reúne todas las condiciones legales pactadas.
Establecemos un compromiso de resolución garantizado en un plazo máximo de 6 meses. Abogados expertos en Derecho Inmobiliario gestionarán la resolución de su problema con la mayor diligencia y efectividad.
Le permitimos disfrutar con total tranquilidad, de la inversión más importante de su vida.

Finanza-te apuesta de forma decidida y profesional por la intermediación independiente, que le permite con absoluta transparencia ofrecer a sus clientes gran variedad de productos financieros.
Más de 10 años de experiencia en el sector financiero avalan nuestro prestigio.
Es la empresa del grupo La Casa Agency dedicada a la intermediación financiera.
Integrada por profesionales con más de 10 años de experiencia en el sector.
A través de sus convenios con entidades Bancarias de primer orden, tiene como objetivo conseguir las mejores condiciones de financiación para sus clientes. "".","['https://static.inmofactory.com/images/inmofactory/documents/1/99116/30579864/474671580.jpg?rule=web_948x542', 'https://static.inmofactory.com/images/inmofactory/documents/1/99116/30579864/474671670.jpg?rule=web_482x269', 'https://static.inmofactory.com/images/inmofactory/documents/1/99116/30579864/474671638.jpg?rule=web_482x269', 'https://static.inmofactory.com/images/inmofactory/documents/1/99116/30579864/474671559.jpg?rule=web_482x269', 'https://static.inmofactory.com/images/inmofactory/documents/1/99116/30579864/474671680.jpg?rule=web_482x269']"
